Sugar GRN,IPC,hops
720575940630233916,720575940650527222,3
720575940632889389,720575940650527222,3
720575940617000768,720575940650527222,3
720575940637568838,720575940650527222,3
720575940629176663,720575940650527222,3
720575940621502051,720575940650527222,3
720575940638202345,720575940650527222,3
720575940612670570,720575940650527222,3
720575940611875570,720575940650527222,3
720575940621754367,720575940650527222,3
720575940633143833,720575940650527222,3
720575940639259967,720575940650527222,3
720575940624963786,720575940650527222,3
720575940628853239,720575940650527222,3
720575940630233916,720575940603765280,3
720575940632889389,720575940603765280,3
720575940617000768,720575940603765280,3
720575940637568838,720575940603765280,3
720575940629176663,720575940603765280,3
720575940621502051,720575940603765280,3
720575940638202345,720575940603765280,3
720575940612670570,720575940603765280,3
720575940611875570,720575940603765280,3
720575940621754367,720575940603765280,3
720575940633143833,720575940603765280,3
720575940624963786,720575940603765280,3
720575940628853239,720575940603765280,3
720575940632889389,720575940612923390,3
720575940629176663,720575940612923390,3
720575940611875570,720575940612923390,3
720575940633143833,720575940612923390,3
720575940624963786,720575940612923390,3
720575940628853239,720575940612923390,3
720575940630233916,720575940628363820,3
720575940617000768,720575940628363820,3
720575940637568838,720575940628363820,3
720575940621502051,720575940628363820,3
720575940638202345,720575940628363820,3
720575940612670570,720575940628363820,3
720575940621754367,720575940628363820,3
720575940624963786,720575940628363820,3
720575940628853239,720575940628363820,3
720575940638202345,720575940643539566,3
720575940612670570,720575940643539566,3
720575940639259967,720575940643539566,3
720575940630233916,720575940622897639,3
720575940632889389,720575940622897639,3
720575940617000768,720575940622897639,3
720575940637568838,720575940622897639,3
720575940629176663,720575940622897639,3
720575940621502051,720575940622897639,3
720575940638202345,720575940622897639,3
720575940612670570,720575940622897639,3
720575940611875570,720575940622897639,3
720575940621754367,720575940622897639,3
720575940633143833,720575940622897639,3
720575940624963786,720575940622897639,3
720575940628853239,720575940622897639,3
720575940630233916,720575940625379859,3
720575940638202345,720575940625379859,3
720575940612670570,720575940625379859,3
720575940639259967,720575940625379859,3
720575940624963786,720575940625379859,3
720575940630233916,720575940615911380,3
720575940638202345,720575940615911380,3
720575940612670570,720575940615911380,3
720575940639259967,720575940615911380,3
720575940624963786,720575940615911380,3
720575940630233916,720575940623081400,3
720575940617000768,720575940623081400,3
720575940637568838,720575940623081400,3
720575940621502051,720575940623081400,3
720575940638202345,720575940623081400,3
720575940612670570,720575940623081400,3
720575940621754367,720575940623081400,3
720575940639259967,720575940623081400,3
720575940624963786,720575940623081400,3
720575940628853239,720575940623081400,3
720575940630233916,720575940615043112,3
720575940638202345,720575940615043112,3
720575940624963786,720575940615043112,3
720575940638202345,720575940628199802,3
720575940612670570,720575940628199802,3
720575940639259967,720575940628199802,3
720575940638202345,720575940618694827,3
720575940612670570,720575940618694827,3
720575940639259967,720575940618694827,3
720575940616885538,720575940632436307,3
720575940632425919,720575940632436307,3
720575940612670570,720575940632436307,3
720575940639198653,720575940632436307,3
720575940610788069,720575940632436307,3
720575940628853239,720575940632436307,3
720575940638202345,720575940614623455,3
720575940612670570,720575940614623455,3
720575940639259967,720575940614623455,3
